ensembl_gene_id	external_gene_name
ENSG00000023171	GRAMD1B
ENSG00000034152	MAP2K3
ENSG00000054179	ENTPD2
ENSG00000058404	CAMK2B
ENSG00000065183	WDR3
ENSG00000075043	KCNQ2
ENSG00000080823	MOK
ENSG00000082153	BZW1
ENSG00000087494	PTHLH
ENSG00000101213	PTK6
ENSG00000101353	MROH8
ENSG00000103855	CD276
ENSG00000110031	LPXN
ENSG00000110047	EHD1
ENSG00000113070	HBEGF
ENSG00000113504	SLC12A7
ENSG00000115541	HSPE1
ENSG00000115641	FHL2
ENSG00000116833	NR5A2
ENSG00000118971	CCND2
ENSG00000120949	TNFRSF8
ENSG00000124225	PMEPA1
ENSG00000134775	FHOD3
ENSG00000137936	BCAR3
ENSG00000138678	GPAT3
ENSG00000139318	DUSP6
ENSG00000139725	RHOF
ENSG00000142002	DPP9
ENSG00000142623	PADI1
ENSG00000142627	EPHA2
ENSG00000143314	MRPL24
ENSG00000144063	MALL
ENSG00000144583	MARCHF4
ENSG00000151651	ADAM8
ENSG00000157570	TSPAN18
ENSG00000158715	SLC45A3
ENSG00000164171	ITGA2
ENSG00000167767	KRT80
ENSG00000169851	PCDH7
ENSG00000170421	KRT8
ENSG00000171552	BCL2L1
ENSG00000171617	ENC1
ENSG00000172927	MYEOV
ENSG00000173638	SLC19A1
ENSG00000177311	ZBTB38
ENSG00000179163	FUCA1
ENSG00000182004	SNRPE
ENSG00000184497	TMEM255B
ENSG00000185519	FAM131C
ENSG00000185838	GNB1L
ENSG00000186642	PDE2A
ENSG00000187720	THSD4
ENSG00000188783	PRELP
ENSG00000197183	NOL4L
ENSG00000198959	TGM2
ENSG00000203805	PLPP4
ENSG00000222009	BTBD19
ENSG00000223669	AL357033.2
ENSG00000228812	LAMA5-AS1
ENSG00000229167	AC114488.1
ENSG00000229953	AL590666.2
ENSG00000231185	SPRY4-AS1
ENSG00000231826	LINC01819
ENSG00000242444	AC007207.1
ENSG00000257135	ODC1-DT
ENSG00000260328	AC104024.2
ENSG00000281376	ABALON
ENSG00000287263	AC008875.3
