ensembl_gene_id external_gene_name
ENSG00000001084 GCLC
ENSG00000002586 CD99
ENSG00000003436 TFPI
ENSG00000005882 PDK2
ENSG00000006468 ETV1
ENSG00000006534 ALDH3B1
ENSG00000008513 ST3GAL1
ENSG00000011028 MRC2
ENSG00000011347 SYT7
ENSG00000012822 CALCOCO1
ENSG00000017483 SLC38A5
ENSG00000018236 CNTN1
ENSG00000019485 PRDM11
ENSG00000023171 GRAMD1B
ENSG00000023608 SNAPC1
ENSG00000026025 VIM
ENSG00000033050 ABCF2
ENSG00000034152 MAP2K3
ENSG00000035141 FAM136A
ENSG00000035664 DAPK2
ENSG00000038427 VCAN
ENSG00000039560 RAI14
ENSG00000043039 BARX2
ENSG00000050344 NFE2L3
ENSG00000053372 MRTO4
ENSG00000054179 ENTPD2
ENSG00000054654 SYNE2
ENSG00000057019 DCBLD2
ENSG00000057294 PKP2
ENSG00000058404 CAMK2B
ENSG00000058453 CROCC
ENSG00000058668 ATP2B4
ENSG00000064042 LIMCH1
ENSG00000064195 DLX3
ENSG00000064655 EYA2
ENSG00000065183 WDR3
ENSG00000065618 COL17A1
ENSG00000065802 ASB1
ENSG00000065809 FAM107B
ENSG00000066468 FGFR2
ENSG00000068078 FGFR3
ENSG00000068366 ACSL4
ENSG00000069020 MAST4
ENSG00000069424 KCNAB2
ENSG00000069482 GAL
ENSG00000071539 TRIP13
ENSG00000071967 CYBRD1
ENSG00000072195 SPEG
ENSG00000072682 P4HA2
ENSG00000072786 STK10
ENSG00000073008 PVR
ENSG00000073282 TP63
ENSG00000074181 NOTCH3
ENSG00000074410 CA12
ENSG00000074416 MGLL
ENSG00000075213 SEMA3A
ENSG00000075340 ADD2
ENSG00000075426 FOSL2
ENSG00000075618 FSCN1
ENSG00000075624 ACTB
ENSG00000076067 RBMS2
ENSG00000076555 ACACB
ENSG00000076826 CAMSAP3
ENSG00000078804 TP53INP2
ENSG00000078900 TP73
ENSG00000080608 PUM3
ENSG00000080823 MOK
ENSG00000081277 PKP1
ENSG00000082153 BZW1
ENSG00000082516 GEMIN5
ENSG00000082641 NFE2L1
ENSG00000082781 ITGB5
ENSG00000085063 CD59
ENSG00000085117 CD82
ENSG00000085552 IGSF9
ENSG00000085662 AKR1B1
ENSG00000086289 EPDR1
ENSG00000086570 FAT2
ENSG00000087095 NLK
ENSG00000087258 GNAO1
ENSG00000087494 PTHLH
ENSG00000088280 ASAP3
ENSG00000089127 OAS1
ENSG00000090238 YPEL3
ENSG00000090339 ICAM1
ENSG00000091127 PUS7
ENSG00000091622 PITPNM3
ENSG00000091986 CCDC80
ENSG00000092068 SLC7A8
ENSG00000092295 TGM1
ENSG00000092621 PHGDH
ENSG00000095585 BLNK
ENSG00000096060 FKBP5
ENSG00000096696 DSP
ENSG00000099204 ABLIM1
ENSG00000099889 ARVCF
ENSG00000099994 SUSD2
ENSG00000100003 SEC14L2
ENSG00000100234 TIMP3
ENSG00000100439 ABHD4
ENSG00000100842 EFS
ENSG00000100906 NFKBIA
ENSG00000101144 BMP7
ENSG00000101188 NTSR1
ENSG00000101210 EEF1A2
ENSG00000101213 PTK6
ENSG00000101333 PLCB4
ENSG00000101347 SAMHD1
ENSG00000101417 PXMP4
ENSG00000102172 SMS
ENSG00000102287 GABRE
ENSG00000102452 NALCN
ENSG00000102554 KLF5
ENSG00000102854 MSLN
ENSG00000103044 HAS3
ENSG00000103187 COTL1
ENSG00000103381 CPPED1
ENSG00000103544 VPS35L
ENSG00000103855 CD276
ENSG00000104081 BMF
ENSG00000104356 POP1
ENSG00000104368 PLAT
ENSG00000104419 NDRG1
ENSG00000104626 ERI1
ENSG00000104783 KCNN4
ENSG00000104823 ECH1
ENSG00000104907 TRMT1
ENSG00000104915 STX10
ENSG00000104936 DMPK
ENSG00000105011 ASF1B
ENSG00000105357 MYH14
ENSG00000105559 PLEKHA4
ENSG00000105825 TFPI2
ENSG00000105835 NAMPT
ENSG00000105974 CAV1
ENSG00000106003 LFNG
ENSG00000106028 SSBP1
ENSG00000106078 COBL
ENSG00000106123 EPHB6
ENSG00000106211 HSPB1
ENSG00000106278 PTPRZ1
ENSG00000106484 MEST
ENSG00000106617 PRKAG2
ENSG00000106665 CLIP2
ENSG00000106799 TGFBR1
ENSG00000106852 LHX6
ENSG00000107521 HPS1
ENSG00000107554 DNMBP
ENSG00000107679 PLEKHA1
ENSG00000107731 UNC5B
ENSG00000107738 VSIR
ENSG00000107816 LZTS2
ENSG00000107821 KAZALD1
ENSG00000107957 SH3PXD2A
ENSG00000107984 DKK1
ENSG00000108352 RAPGEFL1
ENSG00000108561 C1QBP
ENSG00000108602 ALDH3A1
ENSG00000108813 DLX4
ENSG00000108821 COL1A1
ENSG00000108829 LRRC59
ENSG00000108840 HDAC5
ENSG00000108852 MPP2
ENSG00000108854 SMURF2
ENSG00000109062 SLC9A3R1
ENSG00000109089 CDR2L
ENSG00000109101 FOXN1
ENSG00000109452 INPP4B
ENSG00000109472 CPE
ENSG00000109790 KLHL5
ENSG00000109846 CRYAB
ENSG00000109906 ZBTB16
ENSG00000109971 HSPA8
ENSG00000110047 EHD1
ENSG00000110092 CCND1
ENSG00000110104 CCDC86
ENSG00000110719 TCIRG1
ENSG00000111057 KRT18
ENSG00000111145 ELK3
ENSG00000111275 ALDH2
ENSG00000111331 OAS3
ENSG00000111335 OAS2
ENSG00000111348 ARHGDIB
ENSG00000111679 PTPN6
ENSG00000111799 COL12A1
ENSG00000111845 PAK1IP1
ENSG00000111962 UST
ENSG00000112378 PERP
ENSG00000112379 ARFGEF3
ENSG00000112414 ADGRG6
ENSG00000112972 HMGCS1
ENSG00000112977 DAP
ENSG00000112992 NNT
ENSG00000113070 HBEGF
ENSG00000113083 LOX
ENSG00000113140 SPARC
ENSG00000113356 POLR3G
ENSG00000113504 SLC12A7
ENSG00000113657 DPYSL3
ENSG00000114270 COL7A1
ENSG00000114315 HES1
ENSG00000114631 PODXL2
ENSG00000114767 RRP9
ENSG00000114796 KLHL24
ENSG00000115008 IL1A
ENSG00000115112 TFCP2L1
ENSG00000115232 ITGA4
ENSG00000115267 IFIH1
ENSG00000115415 STAT1
ENSG00000115457 IGFBP2
ENSG00000115641 FHL2
ENSG00000115648 MLPH
ENSG00000115756 HPCAL1
ENSG00000115758 ODC1
