ucsc external_gene_name ensembl_gene_id
uc001acj.4 ISG15 ENSG00000187608
uc001aea.2 ACAP3 ENSG00000131584
uc001afo.4 MRPL20 ENSG00000242485
uc001aia.2 SLC35E2 ENSG00000215790
uc001ajn.3 HES5 ENSG00000197921
uc001akl.3 MEGF6 ENSG00000162591
uc001amp.2 GPR153 ENSG00000158292
uc001ams.3 ACOT7 ENSG00000097021
uc001aoz.3 ERRFI1 ENSG00000116285
uc001ark.3 DFFA ENSG00000160049
uc001aro.4 CASZ1 ENSG00000130940
uc001arz.1 SRM ENSG00000116649
uc001ase.4 ANGPTL7 ENSG00000171819
uc001awv.2 AGMAT ENSG00000116771
uc001aya.2 EPHA2 ENSG00000142627
uc001ayc.1 ARHGEF19 ENSG00000142632
uc001bai.3 PADI3 ENSG00000142619
uc001bbd.2 IFFO2 ENSG00000169991
uc001bbs.3 MRTO4 ENSG00000053372
uc001bdh.3 CAMK2N1 ENSG00000162545
uc001bgn.3 HTR1D ENSG00000179546
uc001bhh.4 ID3 ENSG00000117318
uc001bie.3 FUCA1 ENSG00000179163
uc001bjo.2 CLIC4 ENSG00000169504
uc001bmd.4 AIM1L ENSG00000176092
uc001bnc.1 SFN ENSG00000175793
uc001bod.4 GPR3 ENSG00000181773
uc001bvf.3 TSSK3 ENSG00000162526
uc001bxc.1 ZNF362 ENSG00000160094
uc001cbb.4 ZC3H12A ENSG00000163874
uc001ccp.1 POU3F1 ENSG00000185668
uc001cet.2 MYCL ENSG00000116990
uc001cgj.3 CITED4 ENSG00000179862
uc001cgx.3 EDN2 ENSG00000127129
uc001cik.2 SLC2A1 ENSG00000117394
uc001cin.3 EBNA1BP2 ENSG00000117395
uc001cmn.3 PLK3 ENSG00000173846
uc001col.2 NASP ENSG00000132780
uc001csf.3 CDKN2C ENSG00000123080
uc001cth.3 RAB3B ENSG00000169213
uc001cyd.3 TMEM61 ENSG00000143001
uc001cze.3 JUN ENSG00000177606
uc001dah.4 KANK4 ENSG00000132854
uc001dbj.3 ROR1 ENSG00000185483
uc001dip.4 IFI44 ENSG00000137965
uc001dlr.4 CLCA2 ENSG00000137975
uc001dqj.4 ARHGAP29 ENSG00000137962
uc001dsg.3 PALMD ENSG00000099260
uc001dxa.4 CELSR2 ENSG00000143126
uc001egb.4 SLC22A15 ENSG00000163393
uc001egc.1 MAB21L3 ENSG00000173212
uc001ehy.1 ZNF697 ENSG00000143067
uc001emb.1 PDE4DIP ENSG00000178104
uc001enn.4 TXNIP ENSG00000117289
uc001ewa.2 ANXA9 ENSG00000143412
uc001ewq.3 MLLT11 ENSG00000213190
uc001ezu.1 FLG ENSG00000143631
uc001fba.3 SPRR1B ENSG00000169469
uc001fbs.3 S100A8 ENSG00000143546
uc001fek.3 C1orf43 ENSG00000143612
uc001fex.3 ATP8B2 ENSG00000143515
uc001fuu.3 LINC01133 ENSG00000224259
uc001fxo.2 PVRL4 ENSG00000143217
uc001fxu.3 PFDN2 ENSG00000143256
uc001gce.4 UAP1 ENSG00000117143
uc001gqv.1 C1orf21 ENSG00000116667
uc001gra.4 FAM129A ENSG00000135842
