"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000117472",3201.49974887559,-4.89852070874315,0.0947750158031792,-51.6857809753995,0,0
"ENSG00000134193",39379.9010940714,-4.97081399499782,0.128345293193713,-38.7300061521953,0,0
"ENSG00000163191",2003.13458022494,-3.57799769048243,0.0949858414897957,-37.6687476192629,0,0
"ENSG00000163810",21643.8907918439,-4.26334500144823,0.0608431804182799,-70.0710411937528,0,0
"ENSG00000074416",3613.23735519409,-3.02810474476636,0.0697782103070339,-43.3961365796325,0,0
"ENSG00000091490",5233.94200466913,-3.8758667870704,0.0680634985649751,-56.9448657325541,0,0
"ENSG00000131844",9796.59732640459,-2.49206586359675,0.0632727421750591,-39.3860891424913,0,0
"ENSG00000188959",2335.67151273898,-3.21382086167438,0.0836887847252261,-38.402049596326,0,0
"ENSG00000176340",7116.55932688979,-2.59272953671566,0.0620288680391084,-41.7987562675008,0,0
"ENSG00000174804",5184.96000312708,-2.64109057267814,0.0619301236730216,-42.6462990227916,0,0
"ENSG00000076043",4646.47248050758,-2.72357634078177,0.0633140163221516,-43.0169573657086,0,0
"ENSG00000151715",7416.03071019513,-2.43949215892112,0.0631743297969818,-38.6152439885111,0,0
"ENSG00000224078",34986.8249921189,-2.19788842821474,0.0468058536624769,-46.9575545841766,0,0
"ENSG00000157483",4601.00044097664,-2.44337903077627,0.0633262299384058,-38.58399644433,0,0
"ENSG00000091157",11512.062699083,-2.39133152251762,0.0532726038180281,-44.8885797038583,0,0
"ENSG00000142515",21574.80116539,-2.09564490607862,0.0526569110694609,-39.7980979802293,0,0
"ENSG00000160182",1833.59530796466,-4.92549620662224,0.122756074163381,-40.1242564996555,0,0
"ENSG00000155093",1458.71273987758,-4.3879147137792,0.119151404359205,-36.826378483555,6.98632561414365e-297,8.36612492293702e-294
"ENSG00000204103",4468.98342074541,2.75391865927916,0.0751377720054784,36.6515879533714,4.31706791037223e-294,4.89759993726702e-291
"ENSG00000124664",6276.96728454817,-2.12502037616048,0.05808537450283,-36.5844310095124,5.0580256693753e-293,5.45128716516923e-290
"ENSG00000107281",9144.392073116,-2.02372384998449,0.0556501478695333,-36.3651118183716,1.51627569632812e-289,1.55634869687393e-286
"ENSG00000198682",1525.68066503552,-3.90702079830012,0.10803466536523,-36.1645105771537,2.20073454581567e-286,2.15621968795713e-283
"ENSG00000078596",19181.9096648315,-1.8311230597871,0.0513197886219134,-35.6806430610515,7.89249805027383e-279,7.39664328146314e-276
"ENSG00000164690",14057.9357954885,-2.16876481034193,0.061256459024057,-35.4046715219076,1.4470129223471e-274,1.29959848088299e-271
"ENSG00000074410",6386.79469244729,-2.19849768870496,0.062232941858042,-35.3269124528919,2.26850846700291e-273,1.95590800024991e-270
"ENSG00000156642",12815.4862957638,1.73533001459914,0.049128770673514,35.322072806,2.69181963778842e-273,2.23162201125113e-270
"ENSG00000144481",21481.6849124883,-1.84826073516052,0.0525107801088986,-35.1977390419174,2.1653123222921e-271,1.7286410039632e-268
"ENSG00000104763",6477.65061526533,-2.04699346289939,0.0585041234711668,-34.9888749962767,3.32171587483456e-268,2.55712806007353e-265
"ENSG00000241635",1285.85216930055,-4.23270911720581,0.122634143840879,-34.5149318504468,4.78950891003246e-261,3.55992636399137e-258
"ENSG00000157554",6176.73598671362,-2.15927197795616,0.0628606130137205,-34.3501578243417,1.40079373659692e-258,1.00647029974489e-255
"ENSG00000175356",1656.89122615726,-3.49436912345021,0.102795137499608,-33.9935254570142,2.77684969131496e-253,1.93080629342884e-250
"ENSG00000198794",6459.14108742487,-1.88353953576979,0.0557196136400403,-33.8038872261,1.72916232152202e-250,1.16475293251273e-247
"ENSG00000214595",1350.79423460107,-3.90078075496172,0.116963426148075,-33.3504316983958,7.18040882610618e-244,4.69011249232481e-241
"ENSG00000159674",74666.7631012059,-1.81304794821606,0.054662384213563,-33.1681095565202,3.10487821091673e-241,1.96840146577383e-238
"ENSG00000066230",1563.97894575517,-3.2605025985389,0.0986711585895747,-33.0441300694668,1.888951986706e-239,1.16332457352708e-236
"ENSG00000185950",10789.3860580014,1.72144828152631,0.0528801446607756,32.5537740596087,1.85153078234946e-232,1.10860405593174e-229
"ENSG00000169439",7941.04590122228,1.91139815201952,0.0593303375987179,32.2162021889594,1.04681511230747e-227,6.0984053366993e-225
"ENSG00000178038",1971.59374977445,3.53519672464329,0.110591717913826,31.966197752692,3.21785447562132e-224,1.82528561110572e-221
"ENSG00000049089",2521.43743899185,-2.49655030458519,0.0797681508003375,-31.2975828013633,5.03342100390662e-215,2.78193307023608e-212
"ENSG00000107957",1895.66884972913,-2.7731914517562,0.0888768523731016,-31.2026290052943,9.8145235682029e-214,5.28880138781534e-211
"ENSG00000132932",2363.16310719304,-2.54080324501356,0.081631106077698,-31.1254295953699,1.09090747337604e-212,5.73524648502938e-210
"ENSG00000142192",30192.9074668846,-1.29895895737697,0.0423828755796455,-30.6482025962581,2.79250992403759e-206,1.433155986015e-203
"ENSG00000135862",27141.438321432,-1.42829057024448,0.0466575610096827,-30.6121995950039,8.42238372194724e-206,4.22196467736215e-203
"ENSG00000142197",9324.45495916135,-1.55603440812219,0.0512484147544112,-30.362586151765,1.71392417852931e-202,8.39628083368166e-200
"ENSG00000186063",8453.65958027823,-1.7045917703961,0.0567770492212144,-30.0225494945093,4.9841498821776e-198,2.38740779356307e-195
"ENSG00000105738",4555.62586204052,-1.79666354160715,0.0601223093394258,-29.8834752248775,3.2265671855914e-196,1.51192729750919e-193
"ENSG00000170421",15460.8653279017,-1.49653214923417,0.0502277764772562,-29.7949113855722,4.54700429219835e-195,2.0853335642199e-192
"ENSG00000163430",19708.1379389999,-1.62601775812395,0.0546748935705487,-29.7397516837569,2.35299627501897e-194,1.05664238975071e-191
"ENSG00000115884",14412.8948958341,-1.4473760810447,0.048986839453182,-29.5462229692935,7.3434038045899e-192,3.23034834710072e-189
"ENSG00000163520",14690.7090808764,-1.58932940187865,0.054164854457271,-29.3424475668522,2.98316050778893e-189,1.28604049490781e-186
"ENSG00000109182",5504.21445563888,-1.93241648746952,0.0661140869189026,-29.2285135819826,8.42236917901267e-188,3.55968956183565e-185
"ENSG00000174514",1912.51864363304,-2.78303850494067,0.0958669947618972,-29.0302049402179,2.73609436715119e-185,1.13416373238354e-182
"ENSG00000113924",2075.74238837474,-2.3194406107593,0.0807412721666688,-28.7268276622076,1.7643055045609e-181,7.17539719826609e-179
"ENSG00000006747",2487.91682116257,-2.13028553538719,0.0747062627636274,-28.5154879468067,7.52883595315904e-179,3.00526035130265e-176
"ENSG00000148773",3307.35244595894,-2.07154170245403,0.0728364190994301,-28.4410151963421,6.29413179627531e-178,2.46672747034026e-175
"ENSG00000106123",2112.18829284167,-2.36662522660883,0.0838222833762359,-28.2338434517017,2.24761567393e-175,8.65131354492165e-173
"ENSG00000139220",3401.12355518791,-1.91505977292015,0.0678309471423747,-28.2328325579843,2.31277146448418e-175,8.74592788016781e-173
"ENSG00000064787",1162.83544590897,-3.07321856964247,0.109521853061673,-28.0603229741912,2.9890165433373e-173,1.11083192399372e-170
"ENSG00000154930",5537.52573075894,-1.73491091914386,0.0622630508129559,-27.8642131487533,7.2459690138234e-171,2.64723495072819e-168
"ENSG00000163993",773.0130184216,-4.67894496620503,0.1681673523064,-27.8231470141721,2.27678335603438e-170,8.17934420655352e-168
"ENSG00000230882",1036.88552686562,-3.24145535692016,0.117034149220271,-27.6966627135417,7.65925960912502e-169,2.70648099794573e-166
"ENSG00000125534",8386.21149606782,-1.52045901709428,0.0549397539470924,-27.6750241466042,1.39541485007732e-168,4.8513172731317e-166
"ENSG00000148180",1939.51610713875,-2.68985652842604,0.0974331919068616,-27.6071888417381,9.12193912577622e-168,3.12100631517629e-165
"ENSG00000184640",8747.34749581459,-1.5161651160669,0.0553129418102623,-27.4106758101519,2.04605939031486e-165,6.8910640872245e-163
"ENSG00000178031",764.661186059519,-5.28373929203229,0.193068029506822,-27.3672409954626,6.73374652424103e-165,2.2330139435387e-162
"ENSG00000167552",2643.27501531415,2.01702149463998,0.0737995894720462,27.3310665962985,1.81340259457715e-164,5.92240801910764e-162
"ENSG00000106541",17660.4189651859,-1.54776067864063,0.0572784966439471,-27.0216707722232,8.22401808594875e-161,2.64580163944217e-158
"ENSG00000122786",6639.0746975999,1.46116163462035,0.0543941485563695,26.862478288563,6.0300603768223e-159,1.91144046209419e-156
"ENSG00000128739",3890.18177459007,-1.69109320546354,0.0630385171099923,-26.8263481279682,1.59266241552622e-158,4.97533889371996e-156
"ENSG00000166002",1705.0951158873,-2.33474493777442,0.087258102502044,-26.7567695242941,1.02997146818611e-157,3.17157642810738e-155
"ENSG00000138119",3222.53640032241,-2.06497025183257,0.0775740540647466,-26.6193416952149,4.05423745092163e-156,1.23083222893825e-153
"ENSG00000184709",2286.44091736781,-2.29009482896952,0.0861115029864053,-26.5945286000997,7.85297934874341e-156,2.35098569253006e-153
"ENSG00000111057",6164.85820549127,-1.48152604372445,0.0557916437260471,-26.5546226061947,2.27115881329432e-155,6.70614085213139e-153
"ENSG00000047648",8466.29598562954,-1.3870224604625,0.0522499129789835,-26.5459286223195,2.86178166550054e-155,8.33590591890055e-153
"ENSG00000145721",971.672242761552,-3.36386583395262,0.127046707309585,-26.4773948509789,1.76540689835234e-154,5.07377942586463e-152
"ENSG00000186204",708.996941052996,-5.53911474007503,0.209532998939424,-26.4355245622977,5.35322363412411e-154,1.51827283465191e-151
"ENSG00000177694",4271.80871574666,-1.62187380002531,0.0615610743798528,-26.3457682693741,5.73869478778961e-153,1.6064618980624e-150
"ENSG00000075461",742.229409837591,-4.04253636290217,0.153567593003408,-26.3241500621323,1.01488961317022e-152,2.80460841178002e-150
"ENSG00000128564",1790.07005777481,-2.43895365239675,0.092814975153841,-26.277587731443,3.45967584004035e-152,9.43965983950251e-150
"ENSG00000101144",1462.3394997177,-2.70630802247245,0.104412402335692,-25.9194115060346,4.02442011516614e-148,1.08432969478008e-145
"ENSG00000223768",3460.64847744495,1.71952128019777,0.0663817454372435,25.9035261708112,6.07756697649817e-148,1.61730810096812e-145
"ENSG00000261713",1842.83953797654,-2.27999322634718,0.0880690945116009,-25.8886870472688,8.93031172334766e-148,2.34747401459462e-145
"ENSG00000152952",2729.40596689328,2.34982151893307,0.0908742472044191,25.8579475618347,1.98056710955803e-147,5.14350892126788e-145
"ENSG00000106991",2665.86209190994,-1.90872314970674,0.073881587453018,-25.8348962915898,3.5968745379945e-147,9.22983698410373e-145
"ENSG00000105281",2687.18434245763,-1.8597124811409,0.0723375717245438,-25.7088043848437,9.31829758128029e-146,2.36301063958231e-143
"ENSG00000189143",9234.13160977722,-1.32863032477885,0.0517234884617073,-25.6871754843542,1.62588657330871e-145,4.07511454507783e-143
"ENSG00000170275",2677.01401127846,-2.02266877158701,0.0802010888152496,-25.2199664800861,2.41950979935135e-140,5.99454410632395e-138
"ENSG00000171302",12934.2669868249,-1.24518549713636,0.0495111872274253,-25.1495786480884,1.42827513793363e-139,3.49846256797265e-137
