"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000117472",3182.95768072316,-4.88791844020891,0.0942485726193591,-51.8619890398733,0,0
"ENSG00000134193",39103.0196046351,-4.95635320469619,0.129358740600306,-38.3147917310852,0,0
"ENSG00000163191",1992.86435741611,-3.56085692167769,0.0946993848400633,-37.601690102756,0,0
"ENSG00000163810",21520.5458953385,-4.24762633805314,0.0597435859361288,-71.0976127645607,0,0
"ENSG00000074416",3592.20976019246,-3.01382542194982,0.0694378805496877,-43.4031885491265,0,0
"ENSG00000091490",5191.7318253332,-3.86143426409594,0.0672949245290806,-57.3807652080399,0,0
"ENSG00000066230",2149.87201042903,-3.63763654988019,0.0898463920398976,-40.4872857695258,0,0
"ENSG00000131844",9750.35782202566,-2.47627786889443,0.061951187983035,-39.9714347620347,0,0
"ENSG00000188959",2317.255758899,-3.19844963723588,0.0832833906238684,-38.4044118914538,0,0
"ENSG00000176340",7088.57113169098,-2.57710802612518,0.060664163365012,-42.4815555539586,0,0
"ENSG00000174804",6393.15052092262,-2.61890447767427,0.0580511322625863,-45.113753609973,0,0
"ENSG00000076043",4621.50820648482,-2.70876455689901,0.0626190375023283,-43.2578440190539,0,0
"ENSG00000151715",7358.08536154478,-2.43672962532016,0.0626785669592281,-38.8766007829317,0,0
"ENSG00000224078",34950.5247971077,-2.18321298833195,0.0465647394726186,-46.8855407129624,0,0
"ENSG00000157483",4689.12364721792,-2.43377747715373,0.062476170257821,-38.9552923476301,0,0
"ENSG00000091157",11538.7138871797,-2.36958629077031,0.0522064257094388,-45.3887861229676,0,0
"ENSG00000142515",21473.4427803598,-2.07957683078277,0.0512579943655365,-40.5707803538443,0,0
"ENSG00000160182",1823.90983417131,-4.90893310158059,0.122746583104518,-39.9924216008577,0,0
"ENSG00000204103",4478.43641159596,2.77433192087978,0.0740899103976607,37.4454754498849,7.11651798858786e-307,8.09297916733778e-304
"ENSG00000198682",1530.78050913315,-4.10655339712777,0.110492015977215,-37.1660645414832,2.4123737898113e-302,2.60620802382263e-299
"ENSG00000124664",6250.93282871312,-2.10910487412337,0.0571342298263113,-36.9149086376954,2.66439897577135e-298,2.74141279378532e-295
"ENSG00000175356",1977.05708968693,-3.53824497661907,0.095917910945727,-36.8882614491167,7.12794561933954e-298,7.00061459077588e-295
"ENSG00000155093",1449.08812325016,-4.3839549420586,0.11894912529576,-36.8557139967036,2.36885959291566e-297,2.22538909670125e-294
"ENSG00000107281",9107.62265302354,-2.00757545588297,0.0554475853722942,-36.2067246464101,4.77154089312459e-287,4.29577850323929e-284
"ENSG00000156642",12831.0449824386,1.75267533234152,0.0485799345698745,36.0781740004318,4.98875145504276e-285,4.31167810756435e-282
"ENSG00000078596",19111.105644832,-1.81547473007945,0.0504658831954524,-35.9742981817674,2.11097339210719e-283,1.75430008012539e-280
"ENSG00000074410",6328.4121163435,-2.1837014158642,0.0614671008363049,-35.5263447625371,1.92715137194402e-276,1.54222072939239e-273
"ENSG00000104763",6453.90896975008,-2.02941712922897,0.0573275250749755,-35.4003966955631,1.6836459003595e-274,1.29923346318099e-271
"ENSG00000144481",22245.3325164646,-1.82684617272397,0.0518504299671432,-35.23299949261,6.24911741504899e-272,4.65602344782633e-269
"ENSG00000164690",13895.3023209234,-2.15193927361846,0.0613085535321153,-35.1001475265798,6.70591648368302e-270,4.82982458209796e-267
"ENSG00000241635",1278.3230646136,-4.22005807228652,0.122247797199677,-34.5205244507888,3.94805192469303e-261,2.75179219151104e-258
"ENSG00000159674",71832.7432073452,-1.84222098891761,0.0534543335921004,-34.4634544127936,2.83133447567869e-260,1.91177012549967e-257
"ENSG00000157554",6125.0982393318,-2.14199393566214,0.0621982263343756,-34.4381835608438,6.76716334962655e-260,4.43085146955699e-257
"ENSG00000198794",6432.4875249644,-1.86828695647612,0.0548574386702176,-34.0571306602112,3.18307634995436e-254,2.022845020396e-251
"ENSG00000214595",1340.5336704791,-3.89565472338969,0.116610018515722,-33.4075474215318,1.06522188934441e-244,6.57607124658991e-242
"ENSG00000185950",11017.0066466772,1.7346648310185,0.0526549761951988,32.9439866155836,5.15829287202617e-238,3.09597872460749e-235
"ENSG00000169439",7941.79823693822,1.92940332551379,0.059195201523164,32.593914301631,5.00204024455331e-233,2.92105631254225e-230
"ENSG00000174514",2124.77496302859,-2.7853732977944,0.0859967441752438,-32.3892878097614,3.88459569941299e-230,2.20880155992675e-227
"ENSG00000178038",1977.07208578605,3.55568581740711,0.110626183588606,32.1414488149561,1.16295201099938e-226,6.44305233375991e-224
"ENSG00000107957",1853.05447778749,-2.84087983568657,0.0885046618020409,-32.0986463067989,4.60485055255908e-226,2.4874251472286e-223
"ENSG00000132932",2349.00502709585,-2.52307354538941,0.0808725096048655,-31.198160632295,1.12843996471772e-213,5.94687861406239e-211
"ENSG00000049089",2502.42607872571,-2.47982217759827,0.0796728490949762,-31.1250596127437,1.10355584928207e-212,5.67726934177089e-210
"ENSG00000139220",4283.75126242143,-1.89707844718093,0.0612187569948916,-30.9885162702541,7.69782332129618e-211,3.86806670937783e-208
"ENSG00000135862",26999.4905500099,-1.41147318419209,0.0458743368725093,-30.7682525878197,6.97050305063973e-208,3.42299225943574e-205
"ENSG00000142192",29944.8294405203,-1.28229728537173,0.0417868303977063,-30.6866367505613,8.58141615561903e-207,4.12041464165467e-204
"ENSG00000142197",9286.89723804406,-1.544032795905,0.050362357996353,-30.6584690894898,2.03786833434378e-206,9.57222197829696e-204
"ENSG00000170421",15508.2793077543,-1.48187842801844,0.0489376722462103,-30.2809340943509,2.04361769465051e-201,9.39498883581142e-199
"ENSG00000261713",2764.61904521218,-2.25095639362687,0.0744780730071959,-30.2230750976786,1.17868047142098e-200,5.30578103041525e-198
"ENSG00000105738",4535.84918621604,-1.78195453161083,0.0596621379812897,-29.8674266780326,5.21433904909618e-196,2.29931069048615e-193
"ENSG00000115884",14327.1592149549,-1.43092072133805,0.0479407391558525,-29.8476983570532,9.40377487260359e-196,4.06374727344692e-193
"ENSG00000163430",20248.1701755192,-1.58891723508232,0.0536666004048105,-29.6071900045284,1.20748746829607e-192,5.11572190734768e-190
"ENSG00000109182",5475.70147697952,-1.91746859028447,0.0648098623470693,-29.5860617635022,2.25822391531694e-192,9.38335464197175e-190
"ENSG00000186063",7927.48089217918,-1.660978962146,0.0563481382576284,-29.4770867948089,5.66256869672305e-191,2.3085117326433e-188
"ENSG00000163520",14641.6426502761,-1.57347822507306,0.053516558268157,-29.4017081066535,5.22236458948048e-190,2.08962280897972e-187
"ENSG00000111057",9275.67825013563,-1.46969307486938,0.0505303567466609,-29.0853492730684,5.50056916152858e-186,2.1609235976936e-183
"ENSG00000105281",3791.69363132852,-1.83666574374644,0.0638144172376045,-28.7813604394107,3.6708001284392e-182,1.41633889955689e-179
"ENSG00000113924",2062.61328765006,-2.31028687474386,0.0806111598274568,-28.6596406712034,1.21569996425626e-180,4.60835598731318e-178
"ENSG00000148773",3289.43898876933,-2.05309320370529,0.0716770214691671,-28.6436735459,1.92198892327913e-180,7.16007149401588e-178
"ENSG00000006747",2520.94449399143,-2.10056430672089,0.0738168588002391,-28.4564304260815,4.05736444414434e-178,1.48588938211232e-175
"ENSG00000167552",2735.57043804281,2.04472255424355,0.0724354853877388,28.228188757187,2.63717304473025e-175,9.49689966291442e-173
"ENSG00000106123",2099.13603645388,-2.35261296162119,0.0838187727111998,-28.0678526483225,2.41902207250138e-173,8.56849342959627e-171
"ENSG00000064787",1156.24690378335,-3.05828438581237,0.108967306926454,-28.0660729541249,2.54308323252019e-173,8.86264506533287e-171
"ENSG00000148180",1964.8871131349,-2.66567557799633,0.0951230482638336,-28.0234457016432,8.41793361515277e-173,2.88708399400962e-170
"ENSG00000154930",5510.12802305936,-1.72159966489519,0.0615834320725329,-27.9555654330453,5.6414069877193e-172,1.90459188724455e-169
"ENSG00000125534",8360.95335143685,-1.50519965915897,0.054435032729237,-27.6513043841807,2.69180147246953e-168,8.94796221779219e-166
"ENSG00000075461",807.639299858376,-4.10072970099918,0.148351860911704,-27.6419161566153,3.49069908612405e-168,1.14278083566488e-165
"ENSG00000163993",765.95054139937,-4.70378036645523,0.170304265926308,-27.6198622557734,6.42545215037319e-168,2.0721603673599e-165
"ENSG00000230882",1032.39616094071,-3.22535354038232,0.116789571004891,-27.6167941420665,6.99442898981179e-168,2.2224798115127e-165
"ENSG00000184640",8709.33504697905,-1.50174809193469,0.0545340591220838,-27.5378014420818,6.19530049533771e-167,1.94002692467771e-164
"ENSG00000122786",6632.2748650781,1.47451337423921,0.053607357919774,27.5058020290029,1.49637732875919e-166,4.61888927749997e-164
"ENSG00000178031",759.799296566348,-5.265736137191,0.192846600596572,-27.3053096134514,3.66848734875053e-164,1.11640853724581e-161
"ENSG00000106991",3040.78613563294,-1.92909288069183,0.0708691338160918,-27.2204946895203,3.71581478833057e-163,1.11510569627026e-160
"ENSG00000106541",17583.7631591998,-1.53280840269306,0.0566454115207546,-27.0597098960336,2.93601090622352e-161,8.6901900891468e-159
"ENSG00000128739",3877.02769858115,-1.6758736555321,0.0623374274506971,-26.8839078554782,3.38746175018159e-159,9.89093054542888e-157
"ENSG00000166002",1696.17627502933,-2.31727678292303,0.0869273255062823,-26.6576334820695,1.45979190008977e-156,4.20556314469862e-154
"ENSG00000184709",2281.71825101352,-2.27323959454571,0.0853458338547327,-26.6356246330078,2.62630829650085e-156,7.46666360032814e-154
